Resolver IP,Last Event Date,Attempted Rankings,Successful Rankings,Top 10 Count,Top 25 Count,Top 50 Count,Top 75 Count,Top 100 Count,Top 200 Count
62.134.11.4,4/12/2019,684287,183294,1221,5821,24814,39497,49400,62541
62.141.0.1,4/11/2019,684287,4434,188,173,366,407,493,2807
62.141.0.2,4/11/2019,684287,4390,177,183,333,379,469,2849
62.141.58.13,4/11/2019,684287,14318,194,556,1579,1839,1940,8210
62.145.68.100,4/12/2019,684287,4800,74,167,294,304,361,3600
62.145.128.1,4/10/2019,684287,1872,100,98,240,217,218,999
62.148.192.130,4/11/2019,684287,1696,141,132,200,216,204,803
62.150.103.3,4/12/2019,684287,3218,133,208,351,365,340,1821
62.151.2.8,4/10/2019,684287,14836,1430,826,783,1000,1256,9541
62.151.8.100,4/10/2019,684287,16661,1650,942,944,1124,1510,10491
62.153.158.62,4/9/2019,684287,20814,196,602,2123,2400,2368,13125
62.165.32.250,4/10/2019,684287,42023,1654,2267,1757,1612,2232,32501
62.165.33.250,4/11/2019,684287,42588,1778,2189,1705,1584,2279,33053
62.166.128.10,4/11/2019,684287,1700,89,117,223,221,209,841
62.169.194.10,4/8/2019,684287,2160,135,150,240,239,254,1142
62.169.194.11,4/10/2019,684287,2243,143,166,257,248,260,1169
62.169.194.17,4/11/2019,684287,1699,83,132,213,210,196,865
62.169.194.18,4/11/2019,684287,1665,70,121,208,184,218,864
62.171.194.100,4/11/2019,684287,10553,754,1508,2201,1663,1104,3323
62.171.194.105,4/10/2019,684287,10637,946,1589,2093,1541,1135,3333
62.172.176.80,4/8/2019,684287,7603,109,197,373,774,1820,4330
62.177.144.11,4/10/2019,684287,1803,118,174,212,228,205,866
62.183.50.230,4/12/2019,684287,27923,1107,920,942,1036,1685,22233
62.189.34.83,4/10/2019,684287,1610,74,112,216,199,225,784
62.192.128.60,4/11/2019,684287,57139,303,683,2101,3971,7394,42687
62.196.2.70,4/12/2019,684287,64342,4834,4317,7080,9966,14236,23909
62.201.129.99,4/12/2019,684287,2215,344,229,230,261,226,925
